(venv) shiywang@shiywang-Precision-3630-Tower:~/grandma_su/Test/Server_Test$ python test1.py -n 200
Number of cpu : 8
[D] Main: Test 1
[I] SP: No saved data, Creating new data
[I] SP: Frances Verrastro: 78, B83B7793184A, female
[I] SP: Olive Hunley: 67, 4582201C71C2, female
[I] SP: Clarice Brown: 64, D5284168EA9E, female
[I] SP: Austin Rodrigues: 67, 50FCF024A7B5, male
[I] SP: Maria Whiteside: 89, 6B87BCB0E86D, female
[I] SP: Misty Egnew: 90, 11BB3A0F73A1, female
[I] SP: Jimmy Hobbins: 92, 5A71DB13BA92, male
[I] SP: Chris Perze: 87, 5C78C60219E0, male
[I] SP: George Williams: 96, 6A7AA8267DA6, male
[I] SP: Dustin Franklin: 67, EA86FD253E0C, male
[I] SP: Candace Valenzula: 82, BCEE31D13F62, female
[I] SP: Evelyn Ciaburri: 54, 8F0555339386, female
[I] SP: Clarence Brown: 89, DE2492DFD4A8, male
[I] SP: Ivan Denney: 81, E32F2EC96759, male
[I] SP: Tracy Rios: 55, D156178A4369, female
[I] SP: James Minton: 93, CD8F94787C70, male
[I] SP: Randy Freeman: 97, 3967FFD1719E, male
[I] SP: Marc Beasley: 74, D19478ABAD50, male
[I] SP: Joey Everett: 71, F34E55E16749, female
[I] SP: Joaquina Hurst: 67, 6FC13A5B8BBA, female
[I] SP: Chris Helton: 67, EB8CB7BD7A9A, male
[I] SP: Caroline Sullivan: 59, C8323E8E825D, female
[I] SP: Don Ferguson: 88, E80756D859CA, male
[I] SP: Norman Strobeck: 53, ED8D4A5988CA, male
[I] SP: Ralph Koerner: 71, 6237EDB3FC17, male
[I] SP: Alan Seldon: 87, 0C6AECB1F3ED, male
[I] SP: Tammy Rembert: 87, 32EB5668CAC8, female
[I] SP: Derrick Moore: 54, EFA29746CAF1, male
[I] SP: Mark Clark: 56, EF30996C3CE1, male
[I] SP: Don Martins: 87, 669D4121E64C, male
[I] SP: Lisa Gilson: 65, FD393ADAF70B, female
[I] SP: Edward Graham: 62, 9FA6A56FDDC0, male
[I] SP: Christopher Jordon: 66, D6C035BD1727, male
[I] SP: Janet Farley: 64, 0C5748E57A26, female
[I] SP: Sandra Metcalf: 81, E036C05E6726, female
[I] SP: Candida Henriques: 92, 5F4D859542AC, female
[I] SP: Adam Mathis: 72, 9CFD3EDDE73B, male
[I] SP: William Frank: 52, 89B37EE6BD4D, male
[I] SP: Barbara Woods: 83, 7663CE779BDB, female
[I] SP: Donna Blish: 72, 6CE921956130, female
[I] SP: Betty Green: 56, EB77CF654390, female
[I] SP: Sandra Ruse: 65, 2EDE539FE18F, female
[I] SP: Mary Cunningham: 78, FADE56D35E9A, female
[I] SP: Sharon Tapia: 88, 69034C06E221, female
[I] SP: Joseph Wilks: 86, D15E51FD4257, male
[I] SP: Isela Thompson: 60, 8A6CE3B46EC8, female
[I] SP: Steven Disalvo: 72, CC239EB2405C, male
[I] SP: Diego Williamson: 74, 74A21B3CCAEC, male
[I] SP: Angelo Magrath: 97, AE23E7DA5152, male
[I] SP: Geoffrey Dail: 66, 92AB757CBD43, male
[I] SP: Danielle Hardin: 51, D8DAA5FF39CF, female
[I] SP: Chris Levy: 56, EB90B8FB01F0, female
[I] SP: Joe Poole: 92, 69CA92F8AA1E, male
[I] SP: Juanita Brown: 99, 7AAFAB814C52, female
[I] SP: Joann Burton: 71, 27CC183A8C68, female
[I] SP: Charles Curtin: 75, 89FA9C774EC0, male
[I] SP: Chris Roule: 82, E13F70131555, male
[I] SP: Janice Eck: 70, FBD2A22AE9AD, female
[I] SP: Teresa Fetty: 56, 081A93ECCE7D, female
[I] SP: Brady Gonzales: 86, BF52DB70A73E, male
[I] SP: Noah Facundo: 61, 979C8274F985, male
[I] SP: Craig Enciso: 67, 6933398D0041, male
[I] SP: Eugene Prat: 57, 41AAC05B805A, male
[I] SP: Arnold Mancuso: 91, CD1C200B6A99, male
[I] SP: Bethany Oliver: 69, 032EAEA6751E, female
[I] SP: David Whitten: 90, 601F65468D8E, male
[I] SP: Michael Fasano: 87, 0685BA63D817, male
[I] SP: Richard Trent: 50, B496D8E28693, male
[I] SP: Anna Gundlach: 75, F20284B683AF, female
[I] SP: Mike Nash: 69, 1E5E14B6E52A, male
[I] SP: Deborah Taylor: 53, B61F0427BD74, female
[I] SP: Rebecca Hutchison: 60, C35DDD945AAD, female
[I] SP: Ana Beavers: 95, 202BB6264C83, female
[I] SP: Austin Wilson: 54, 6820514EC73B, male
[I] SP: David Burdick: 99, 2070667E01FB, male
[I] SP: Doyle Phelps: 54, DC1A004BB449, male
[I] SP: Ruth Backman: 72, 30138AD00E0E, female
[I] SP: Vernell Guitterez: 60, B9F7F1E333EE, female
[I] SP: Eva Battle: 66, 56BA132A67C3, female
[I] SP: Martha Nelson: 68, 15B0A9411749, female
[I] SP: Matthew Scott: 68, 7E5A727EAD03, male
[I] SP: Cynthia Burlingham: 88, 69CA51ABF47E, female
[I] SP: Herman Nasworthy: 98, 01541E1099E6, male
[I] SP: Penny Williams: 54, 8699A1504FCC, female
[I] SP: Kenneth Carol: 92, 86925D4F06CA, male
[I] SP: Robert Aragon: 67, 6C9B26A26B26, male
[I] SP: Walter Snow: 84, DEBB76BB34CE, male
[I] SP: Cheree Laborde: 83, 64EED02EE5B9, female
[I] SP: Margaret Anderson: 88, B894426803CD, female
[I] SP: Alvin Enstad: 85, 246026644332, male
[I] SP: Willie Wilson: 53, 66BA9294BE5D, male
[I] SP: Betty Zickefoose: 69, 289CFA0D38E5, female
[I] SP: Wendell Stokes: 76, D3F8F198D0E1, male
[I] SP: Andrew Alexander: 50, A0373ABC3D41, male
[I] SP: Lillie Steele: 66, A602B48C8A57, female
[I] SP: Angela Fisher: 64, 1DAD7D36524A, female
[I] SP: Melba Jeffers: 97, 2708D2D3F46B, female
[I] SP: Chad Chavez: 63, 8E14A0C87DCE, male
[I] SP: Corinna Harrison: 74, F2BD9461FD88, female
[I] SP: Edward Guillen: 87, 3DC1B833FB24, male
[I] SP: Hoyt Tapia: 68, 801518890144, male
[I] SP: Jennifer Earley: 59, B4AA0566A465, female
[I] SP: Annetta Anderson: 68, 99CF1C18FB08, female
[I] SP: Jacquelin Spears: 91, EC9EC317AFE4, female
[I] SP: Matthew Fife: 53, ACD259187FB6, male
[I] SP: Mary Cagle: 83, 616CA65A46D3, female
[I] SP: Ward Staub: 91, CE7E608B4D93, male
[I] SP: Robert Branson: 92, 8744EB0AE74D, male
[I] SP: Leslie Johnson: 67, 984515C6085F, female
[I] SP: Gerald Young: 84, B5450ECC2423, male
[I] SP: Lucius Vogt: 92, E47A380FE493, male
[I] SP: Loretta Pickell: 98, A88418DF1DE6, female
[I] SP: Stephen Sarate: 96, 60A4B3C8D8AC, male
[I] SP: Robert Chapman: 90, 454F0D7D592F, male
[I] SP: Grady Davis: 52, 33273D22D5FE, male
[I] SP: Robert Blackford: 77, F675FB933667, male
[I] SP: Richard Walker: 75, 0DCF5DA263D8, male
[I] SP: Benjamin Beason: 88, 4A1551D67FD9, male
[I] SP: Marie Bailey: 88, 76C420F4CD3D, female
[I] SP: Neil Leeper: 98, 3E4163B08EA9, male
[I] SP: Cheryl Espinoza: 91, 5FC352C09A83, female
Starting API Handler
{'device_id': '62415493C4BA', 'sequence_id': 1, 'time': 1639096827987, 'value': 71, 'battery': 60}
{'device_id': 'BE9EC483C140', 'sequence_id': 1, 'time': 1639096827987, 'value': 77, 'battery': 60}
{'device_id': '7C9AA0C595C3', 'sequence_id': 1, 'time': 1639096827987, 'value': 103, 'battery': 60}
{'device_id': '19F5E1A55E98', 'sequence_id': 1, 'time': 1639096827987, 'value': 95, 'battery': 60}
{'device_id': '2E9FCD6ABF8D', 'sequence_id': 1, 'time': 1639096827987, 'value': 106, 'battery': 60}
{'device_id': 'CD41C71FE249', 'sequence_id': 1, 'time': 1639096827987, 'value': 120, 'battery': 60}
{'device_id': 'FF8FF284326F', 'sequence_id': 1, 'time': 1639096827987, 'value': 113, 'battery': 60}
{'device_id': 'DE45396C4BCA', 'sequence_id': 1, 'time': 1639096827987, 'value': 67, 'battery': 60}
{'device_id': '50C82E7BE5E1', 'sequence_id': 1, 'time': 1639096827987, 'value': 86, 'battery': 60}
{'device_id': '0D1CCC1AB030', 'sequence_id': 1, 'time': 1639096827987, 'value': 68, 'battery': 60}
{'device_id': '9E3B1B6E8826', 'sequence_id': 1, 'time': 1639096827990, 'value': 84, 'battery': 60}
{'device_id': 'E3C5CC670056', 'sequence_id': 1, 'time': 1639096827990, 'value': 107, 'battery': 60}
{'device_id': '24A58254995C', 'sequence_id': 1, 'time': 1639096827990, 'value': 105, 'battery': 60}
{'device_id': '4D99034B5D1C', 'sequence_id': 1, 'time': 1639096827990, 'value': 107, 'battery': 60}
{'device_id': 'AAF56BCBEECE', 'sequence_id': 1, 'time': 1639096827990, 'value': 89, 'battery': 60}
{'device_id': 'B4F20E36CAEE', 'sequence_id': 1, 'time': 1639096827990, 'value': 83, 'battery': 60}
{'device_id': '7786A0BB7B7F', 'sequence_id': 1, 'time': 1639096827990, 'value': 93, 'battery': 60}
{'device_id': 'D71CA059A2DB', 'sequence_id': 1, 'time': 1639096827991, 'value': 74, 'battery': 60}
{'device_id': '4B20A10B5583', 'sequence_id': 1, 'time': 1639096827991, 'value': 108, 'battery': 60}
{'device_id': '7AD52B4A886B', 'sequence_id': 1, 'time': 1639096827991, 'value': 105, 'battery': 60}
{'device_id': 'DB891AE6600C', 'sequence_id': 1, 'time': 1639096827991, 'value': 113, 'battery': 60}
{'device_id': '089CCD2EBD28', 'sequence_id': 1, 'time': 1639096827991, 'value': 67, 'battery': 60}
{'device_id': 'F1539B1F2115', 'sequence_id': 1, 'time': 1639096827991, 'value': 106, 'battery': 60}
{'device_id': '538C5860415C', 'sequence_id': 1, 'time': 1639096827991, 'value': 116, 'battery': 60}
{'device_id': '28AD0296A4C9', 'sequence_id': 1, 'time': 1639096827991, 'value': 107, 'battery': 60}
{'device_id': 'A57D47497B56', 'sequence_id': 1, 'time': 1639096827991, 'value': 113, 'battery': 60}
{'device_id': '7DA53A768DC6', 'sequence_id': 1, 'time': 1639096827991, 'value': 117, 'battery': 60}
{'device_id': 'BBC03A4C8CFE', 'sequence_id': 1, 'time': 1639096827991, 'value': 83, 'battery': 60}
{'device_id': '50F19959ABE7', 'sequence_id': 1, 'time': 1639096827991, 'value': 106, 'battery': 60}
{'device_id': 'ADBFE1960462', 'sequence_id': 1, 'time': 1639096827991, 'value': 109, 'battery': 60}
{'device_id': 'FE0870578731', 'sequence_id': 1, 'time': 1639096827991, 'value': 80, 'battery': 60}
{'device_id': '1BEC9F173765', 'sequence_id': 1, 'time': 1639096827991, 'value': 69, 'battery': 60}
{'device_id': '066A31D1D57C', 'sequence_id': 1, 'time': 1639096827991, 'value': 71, 'battery': 60}
{'device_id': 'A4DCB8CD965C', 'sequence_id': 1, 'time': 1639096827991, 'value': 119, 'battery': 60}
{'device_id': 'E777ACD0DEA5', 'sequence_id': 1, 'time': 1639096827991, 'value': 112, 'battery': 60}
{'device_id': '03D4634A8005', 'sequence_id': 1, 'time': 1639096827991, 'value': 115, 'battery': 60}
{'device_id': '59F5144D824D', 'sequence_id': 1, 'time': 1639096827991, 'value': 108, 'battery': 60}
{'device_id': '9649259AE759', 'sequence_id': 1, 'time': 1639096827991, 'value': 94, 'battery': 60}
{'device_id': 'FBC1C836028C', 'sequence_id': 1, 'time': 1639096827991, 'value': 89, 'battery': 60}
{'device_id': 'F17D3B7D5302', 'sequence_id': 1, 'time': 1639096827991, 'value': 81, 'battery': 60}
{'device_id': '15319CFE4AC6', 'sequence_id': 1, 'time': 1639096827991, 'value': 108, 'battery': 60}
{'device_id': '31950A631F07', 'sequence_id': 1, 'time': 1639096827991, 'value': 63, 'battery': 60}
{'device_id': '6223D5B97D09', 'sequence_id': 1, 'time': 1639096827991, 'value': 94, 'battery': 60}
{'device_id': 'F1A98662484A', 'sequence_id': 1, 'time': 1639096827991, 'value': 91, 'battery': 60}
{'device_id': '015F2429E3DC', 'sequence_id': 1, 'time': 1639096827991, 'value': 79, 'battery': 60}
{'device_id': 'E00B71959789', 'sequence_id': 1, 'time': 1639096827991, 'value': 107, 'battery': 60}
{'device_id': 'DEA238AF0A7C', 'sequence_id': 1, 'time': 1639096827991, 'value': 114, 'battery': 60}
{'device_id': 'DEAE119A5029', 'sequence_id': 1, 'time': 1639096827991, 'value': 119, 'battery': 60}
{'device_id': '6C32A3AAC9DB', 'sequence_id': 1, 'time': 1639096827991, 'value': 61, 'battery': 60}
{'device_id': '1F62B6743986', 'sequence_id': 1, 'time': 1639096827991, 'value': 76, 'battery': 60}
{'device_id': '3EBB651D8862', 'sequence_id': 1, 'time': 1639096827991, 'value': 112, 'battery': 60}
{'device_id': 'E239B852F0B1', 'sequence_id': 1, 'time': 1639096827991, 'value': 104, 'battery': 60}
{'device_id': 'E78F158A87C9', 'sequence_id': 1, 'time': 1639096827991, 'value': 74, 'battery': 60}
{'device_id': 'DBB93E2E7B85', 'sequence_id': 1, 'time': 1639096827991, 'value': 77, 'battery': 60}
{'device_id': 'CB89F87C2AD6', 'sequence_id': 1, 'time': 1639096827991, 'value': 99, 'battery': 60}
{'device_id': '62628DB4D7D2', 'sequence_id': 1, 'time': 1639096827991, 'value': 90, 'battery': 60}
{'device_id': '87B0E491CF6F', 'sequence_id': 1, 'time': 1639096827991, 'value': 68, 'battery': 60}
{'device_id': '199D9F947927', 'sequence_id': 1, 'time': 1639096827991, 'value': 118, 'battery': 60}
{'device_id': '8EC63F8F5299', 'sequence_id': 1, 'time': 1639096827991, 'value': 62, 'battery': 60}
{'device_id': 'E8A2B72EF809', 'sequence_id': 1, 'time': 1639096827991, 'value': 116, 'battery': 60}
{'device_id': '7FB8BE78EEED', 'sequence_id': 1, 'time': 1639096827991, 'value': 120, 'battery': 60}
{'device_id': 'FBC21B424DE9', 'sequence_id': 1, 'time': 1639096827991, 'value': 106, 'battery': 60}
{'device_id': '39869E8A0DB1', 'sequence_id': 1, 'time': 1639096827991, 'value': 76, 'battery': 60}
{'device_id': '709B5D630BD4', 'sequence_id': 1, 'time': 1639096827992, 'value': 118, 'battery': 60}
{'device_id': 'FB849443BD1D', 'sequence_id': 1, 'time': 1639096827992, 'value': 102, 'battery': 60}
{'device_id': '2440633BE5D7', 'sequence_id': 1, 'time': 1639096827992, 'value': 112, 'battery': 60}
{'device_id': '90926DC76F93', 'sequence_id': 1, 'time': 1639096827992, 'value': 117, 'battery': 60}
{'device_id': '8E099D222FC2', 'sequence_id': 1, 'time': 1639096827992, 'value': 60, 'battery': 60}
{'device_id': '91B240A0EEE9', 'sequence_id': 1, 'time': 1639096827992, 'value': 86, 'battery': 60}
{'device_id': 'A41F46F79C3C', 'sequence_id': 1, 'time': 1639096827992, 'value': 113, 'battery': 60}
{'device_id': 'C0D743851958', 'sequence_id': 1, 'time': 1639096827992, 'value': 101, 'battery': 60}
{'device_id': '8270A22175A1', 'sequence_id': 1, 'time': 1639096827992, 'value': 80, 'battery': 60}
{'device_id': '53AE7B22A841', 'sequence_id': 1, 'time': 1639096827992, 'value': 67, 'battery': 60}
{'device_id': 'AAA97F938C8D', 'sequence_id': 1, 'time': 1639096827992, 'value': 83, 'battery': 60}
{'device_id': 'EB2367EC60E2', 'sequence_id': 1, 'time': 1639096827992, 'value': 97, 'battery': 60}
{'device_id': 'D04D8E04DDCB', 'sequence_id': 1, 'time': 1639096827992, 'value': 77, 'battery': 60}
{'device_id': 'A9173014F9BC', 'sequence_id': 1, 'time': 1639096827992, 'value': 60, 'battery': 60}
{'device_id': '72DD64C49F12', 'sequence_id': 1, 'time': 1639096827992, 'value': 63, 'battery': 60}
{'device_id': '7C07AE305241', 'sequence_id': 1, 'time': 1639096827992, 'value': 119, 'battery': 60}
{'device_id': 'B83B7793184A', 'sequence_id': 1, 'time': 1639096827992, 'value': 107, 'battery': 60}
{'device_id': '4582201C71C2', 'sequence_id': 1, 'time': 1639096827992, 'value': 70, 'battery': 60}
{'device_id': 'D5284168EA9E', 'sequence_id': 1, 'time': 1639096827992, 'value': 107, 'battery': 60}
{'device_id': '50FCF024A7B5', 'sequence_id': 1, 'time': 1639096827992, 'value': 78, 'battery': 60}
{'device_id': '6B87BCB0E86D', 'sequence_id': 1, 'time': 1639096827992, 'value': 64, 'battery': 60}
{'device_id': '11BB3A0F73A1', 'sequence_id': 1, 'time': 1639096827992, 'value': 78, 'battery': 60}
{'device_id': '5A71DB13BA92', 'sequence_id': 1, 'time': 1639096827992, 'value': 109, 'battery': 60}
{'device_id': '5C78C60219E0', 'sequence_id': 1, 'time': 1639096827992, 'value': 62, 'battery': 60}
{'device_id': '6A7AA8267DA6', 'sequence_id': 1, 'time': 1639096827992, 'value': 102, 'battery': 60}
{'device_id': 'EA86FD253E0C', 'sequence_id': 1, 'time': 1639096827992, 'value': 86, 'battery': 60}
{'device_id': 'BCEE31D13F62', 'sequence_id': 1, 'time': 1639096827992, 'value': 108, 'battery': 60}
{'device_id': '8F0555339386', 'sequence_id': 1, 'time': 1639096827992, 'value': 108, 'battery': 60}
{'device_id': 'DE2492DFD4A8', 'sequence_id': 1, 'time': 1639096827992, 'value': 68, 'battery': 60}
{'device_id': 'E32F2EC96759', 'sequence_id': 1, 'time': 1639096827992, 'value': 70, 'battery': 60}
{'device_id': 'D156178A4369', 'sequence_id': 1, 'time': 1639096827992, 'value': 81, 'battery': 60}
{'device_id': 'CD8F94787C70', 'sequence_id': 1, 'time': 1639096827992, 'value': 79, 'battery': 60}
{'device_id': '3967FFD1719E', 'sequence_id': 1, 'time': 1639096827992, 'value': 64, 'battery': 60}
{'device_id': 'D19478ABAD50', 'sequence_id': 1, 'time': 1639096827992, 'value': 116, 'battery': 60}
{'device_id': 'F34E55E16749', 'sequence_id': 1, 'time': 1639096827992, 'value': 83, 'battery': 60}
{'device_id': '6FC13A5B8BBA', 'sequence_id': 1, 'time': 1639096827992, 'value': 74, 'battery': 60}
{'device_id': 'EB8CB7BD7A9A', 'sequence_id': 1, 'time': 1639096827992, 'value': 103, 'battery': 60}
{'device_id': 'C8323E8E825D', 'sequence_id': 1, 'time': 1639096827992, 'value': 120, 'battery': 60}
{'device_id': 'E80756D859CA', 'sequence_id': 1, 'time': 1639096827992, 'value': 116, 'battery': 60}
{'device_id': 'ED8D4A5988CA', 'sequence_id': 1, 'time': 1639096827992, 'value': 69, 'battery': 60}
{'device_id': '6237EDB3FC17', 'sequence_id': 1, 'time': 1639096827992, 'value': 109, 'battery': 60}
{'device_id': '0C6AECB1F3ED', 'sequence_id': 1, 'time': 1639096827992, 'value': 87, 'battery': 60}
{'device_id': '32EB5668CAC8', 'sequence_id': 1, 'time': 1639096827992, 'value': 116, 'battery': 60}
{'device_id': 'EFA29746CAF1', 'sequence_id': 1, 'time': 1639096827992, 'value': 111, 'battery': 60}
{'device_id': 'EF30996C3CE1', 'sequence_id': 1, 'time': 1639096827992, 'value': 80, 'battery': 60}
{'device_id': '669D4121E64C', 'sequence_id': 1, 'time': 1639096827992, 'value': 112, 'battery': 60}
{'device_id': 'FD393ADAF70B', 'sequence_id': 1, 'time': 1639096827992, 'value': 79, 'battery': 60}
{'device_id': '9FA6A56FDDC0', 'sequence_id': 1, 'time': 1639096827993, 'value': 68, 'battery': 60}
{'device_id': 'D6C035BD1727', 'sequence_id': 1, 'time': 1639096827993, 'value': 102, 'battery': 60}
{'device_id': '0C5748E57A26', 'sequence_id': 1, 'time': 1639096827993, 'value': 111, 'battery': 60}
{'device_id': 'E036C05E6726', 'sequence_id': 1, 'time': 1639096827993, 'value': 74, 'battery': 60}
{'device_id': '5F4D859542AC', 'sequence_id': 1, 'time': 1639096827993, 'value': 67, 'battery': 60}
{'device_id': '9CFD3EDDE73B', 'sequence_id': 1, 'time': 1639096827993, 'value': 105, 'battery': 60}
{'device_id': '89B37EE6BD4D', 'sequence_id': 1, 'time': 1639096827993, 'value': 73, 'battery': 60}
{'device_id': '7663CE779BDB', 'sequence_id': 1, 'time': 1639096827993, 'value': 76, 'battery': 60}
{'device_id': '6CE921956130', 'sequence_id': 1, 'time': 1639096827993, 'value': 99, 'battery': 60}
{'device_id': 'EB77CF654390', 'sequence_id': 1, 'time': 1639096827993, 'value': 95, 'battery': 60}
{'device_id': '2EDE539FE18F', 'sequence_id': 1, 'time': 1639096827993, 'value': 94, 'battery': 60}
{'device_id': 'FADE56D35E9A', 'sequence_id': 1, 'time': 1639096827993, 'value': 70, 'battery': 60}
{'device_id': '69034C06E221', 'sequence_id': 1, 'time': 1639096827993, 'value': 108, 'battery': 60}
{'device_id': 'D15E51FD4257', 'sequence_id': 1, 'time': 1639096827993, 'value': 115, 'battery': 60}
{'device_id': '8A6CE3B46EC8', 'sequence_id': 1, 'time': 1639096827993, 'value': 66, 'battery': 60}
{'device_id': 'CC239EB2405C', 'sequence_id': 1, 'time': 1639096827993, 'value': 107, 'battery': 60}
{'device_id': '74A21B3CCAEC', 'sequence_id': 1, 'time': 1639096827993, 'value': 62, 'battery': 60}
{'device_id': 'AE23E7DA5152', 'sequence_id': 1, 'time': 1639096827993, 'value': 69, 'battery': 60}
{'device_id': '92AB757CBD43', 'sequence_id': 1, 'time': 1639096827993, 'value': 82, 'battery': 60}
{'device_id': 'D8DAA5FF39CF', 'sequence_id': 1, 'time': 1639096827993, 'value': 68, 'battery': 60}
{'device_id': 'EB90B8FB01F0', 'sequence_id': 1, 'time': 1639096827993, 'value': 75, 'battery': 60}
{'device_id': '69CA92F8AA1E', 'sequence_id': 1, 'time': 1639096827993, 'value': 95, 'battery': 60}
{'device_id': '7AAFAB814C52', 'sequence_id': 1, 'time': 1639096827993, 'value': 66, 'battery': 60}
{'device_id': '27CC183A8C68', 'sequence_id': 1, 'time': 1639096827993, 'value': 94, 'battery': 60}
{'device_id': '89FA9C774EC0', 'sequence_id': 1, 'time': 1639096827993, 'value': 82, 'battery': 60}
{'device_id': 'E13F70131555', 'sequence_id': 1, 'time': 1639096827993, 'value': 78, 'battery': 60}
{'device_id': 'FBD2A22AE9AD', 'sequence_id': 1, 'time': 1639096827993, 'value': 95, 'battery': 60}
{'device_id': '081A93ECCE7D', 'sequence_id': 1, 'time': 1639096827993, 'value': 111, 'battery': 60}
{'device_id': 'BF52DB70A73E', 'sequence_id': 1, 'time': 1639096827993, 'value': 102, 'battery': 60}
{'device_id': '979C8274F985', 'sequence_id': 1, 'time': 1639096827993, 'value': 87, 'battery': 60}
{'device_id': '6933398D0041', 'sequence_id': 1, 'time': 1639096827993, 'value': 78, 'battery': 60}
{'device_id': '41AAC05B805A', 'sequence_id': 1, 'time': 1639096827993, 'value': 61, 'battery': 60}
{'device_id': 'CD1C200B6A99', 'sequence_id': 1, 'time': 1639096827993, 'value': 67, 'battery': 60}
{'device_id': '032EAEA6751E', 'sequence_id': 1, 'time': 1639096827993, 'value': 79, 'battery': 60}
